strategy,timeframe,composite,sortino,sharpe,calmar,trades_per_day,max_drawdown,total_return,n_trades,length,mult,rsi_window,rsi_lower,rsi_upper,atr_ratio_threshold,garch_window,vol_percentile,k,horizon,max_bars_back,kernel_lookback,kernel_alpha,ema_len,fast_window,slow_window,sl_stop,tp_stop
lorentzian_knn,4h,0.962594715433218,1.2303792454219131,0.9571206271640278,0.6110227637174809,1.131326949384405,0.2887291448328404,0.9172051141932002,1654,,,,,,,,,4,8,1000,4,2.0,,,,0.03,
lorentzian_knn,4h,0.9594173625856152,1.074954107671602,0.9542009933905296,0.8105847383327183,0.5595075239398085,0.2131072779964503,0.8933023589997756,818,,,,,,,,,16,8,500,8,0.5,,,,0.03,
lorentzian_knn,4h,0.9490512245981356,1.0573348541138488,0.9025099955608306,0.8512142809478236,0.5998632010943913,0.1803948849589363,0.7722338960820886,877,,,,,,,,,2,4,1000,16,1.0,,,,0.03,
lorentzian_knn,4h,0.9488725109620744,1.1275027049759512,0.9066711759074512,0.7529002539981947,0.9035567715458276,0.2171504408113399,0.8341924964283998,1321,,,,,,,,,2,4,1000,8,1.0,,,,0.03,
lorentzian_knn,4h,0.9478455128379796,1.133222180500128,0.8591872491986868,0.7893348862610741,1.2708618331053352,0.2092207158177098,0.8446511761935793,1858,,,,,,,,,4,4,500,4,1.0,,,,0.03,
lorentzian_knn,4h,0.9428101409516458,1.126588868617932,0.9049469646717848,0.7356350136764588,0.9008207934336524,0.2216369837352424,0.8313605422244835,1317,,,,,,,,,2,4,1000,8,2.0,,,,0.03,
lorentzian_knn,4h,0.942678586854228,1.1569824387123666,0.9343757719470168,0.6652429326172544,0.7599179206566348,0.2530016898493481,0.8647894830028927,1111,,,,,,,,,8,4,1000,8,2.0,,,,0.03,
lorentzian_knn,4h,0.9357948407964608,1.1238835195275738,0.8521691444806593,0.7686356321374449,1.2708618331053352,0.2127009933566207,0.83417317486645,1858,,,,,,,,,4,4,500,4,2.0,,,,0.03,
lorentzian_knn,4h,0.9355440617607818,1.1231996956846062,0.8510699655260641,0.7698106460970667,1.2749658002735975,0.2119684760167829,0.8321912005109576,1864,,,,,,,,,4,4,500,4,0.5,,,,0.03,
lorentzian_knn,4h,0.9306705960009568,1.0141171826157416,0.8567303473162731,0.893348729199261,0.6176470588235294,0.1597049702790701,0.7062022984070611,903,,,,,,,,,16,8,1000,8,1.0,,,,0.03,
lorentzian_knn,4h,0.9281690244367738,1.0177333109262316,0.8795197558166707,0.8573992444042666,0.6025991792065664,0.1742837053756561,0.7469892248753074,881,,,,,,,,,2,4,1000,16,2.0,,,,0.03,
lorentzian_knn,4h,0.9240311011401982,1.1396015745886574,0.9195889188384244,0.6410459855106928,0.7578659370725034,0.2570217436588505,0.8422267890017188,1108,,,,,,,,,8,4,1000,8,0.5,,,,0.03,
lorentzian_knn,4h,0.9196385092929694,0.9740360622452314,0.9057183585779008,0.8610285894050219,0.493844049247606,0.1728938923495179,0.7435570246123802,722,,,,,,,,,4,8,1000,16,0.5,,,,0.03,
lorentzian_knn,4h,0.9190976433830867,1.136832256253222,0.9163266121213536,0.6315558574846392,0.7551299589603283,0.2607291428562007,0.8416075970551451,1104,,,,,,,,,8,4,1000,8,1.0,,,,0.03,
lorentzian_knn,4h,0.9183941667989568,1.0323797984705108,0.8685307605319882,0.8162767308371873,0.5430916552667578,0.1853927117763618,0.7585925365549183,794,,,,,,,,,4,4,500,16,1.0,,,,0.03,
lorentzian_knn,4h,0.9133124496827676,1.17251820990692,0.9131235567425966,0.5678936623240689,1.1333789329685362,0.2934760287045146,0.8542972545921973,1657,,,,,,,,,4,8,1000,4,0.5,,,,0.03,
lorentzian_knn,4h,0.9097534674367468,0.9800861060305652,0.826301595872064,0.8994284875430054,0.6149110807113544,0.1511931354804926,0.6665670029488682,899,,,,,,,,,16,8,1000,8,2.0,,,,0.03,
lorentzian_knn,4h,0.9056880454703122,1.0140597134735228,0.8548605850678036,0.8120199485352069,0.5417236662106704,0.1835296678342187,0.7445492174575766,792,,,,,,,,,4,4,500,16,2.0,,,,0.03,
lorentzian_knn,4h,0.9052510887828836,1.0980828939181329,0.8919003230671477,0.6614927809849538,0.9015047879616964,0.2482529836670599,0.8387748726508585,1318,,,,,,,,,16,8,500,4,1.0,,,,0.03,
lorentzian_knn,4h,0.9024486121458224,1.078118321577051,0.9068692655002802,0.6638016795497268,0.8248974008207934,0.2641501497671968,0.9101851579232229,1206,,,,,,,,,2,8,1000,8,2.0,,,,0.05,
lorentzian_knn,4h,0.901399732277662,0.9286923883916866,0.8612095557719337,0.9051997006313574,0.4548563611491108,0.1543261915667255,0.6884695545881465,665,,,,,,,,,8,8,1000,16,2.0,,,,0.03,
lorentzian_knn,4h,0.8970151244245907,1.086825945992537,0.8792584268388175,0.661690726586436,0.9001367989056087,0.2459686681156349,0.8295398987715938,1316,,,,,,,,,16,8,500,4,0.5,,,,0.03,
lorentzian_knn,4h,0.8965052350681162,1.0758670137780226,0.8544800647293836,0.6993813671269736,1.00547195622435,0.2267927080062686,0.8035804754527621,1470,,,,,,,,,8,8,500,4,1.0,,,,0.03,
lorentzian_knn,4h,0.8962704519239892,1.076810060032966,0.863557663934215,0.6882637624351275,0.914500683994528,0.2237100548448821,0.7748005841158728,1337,,,,,,,,,2,4,1000,8,0.5,,,,0.03,
